Country,Australia,Austria,Benin,Bosnia and Herzegovina,Brazil,Bulgaria,Canada,Finland,Gambia,Germany,Ireland,Israel,Italy,Kenya,"Korea, South",Netherlands,Nigeria,Peru,Poland,Prefer not to say,Romania,Russia,Swaziland,Sweden,Trinidad and Tobago,Ukraine,United Kingdom,United States
Moldova,6.25,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,18.75,12.5,18.75
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Mozambique,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myanmar,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333
Netherlands,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,8.333333333333332
Nigeria,6.993006993006993,1.3986013986013985,0.0,3.4965034965034967,0.6993006993006993,2.097902097902098,2.797202797202797,0.0,1.3986013986013985,1.3986013986013985,1.3986013986013985,2.097902097902098,1.3986013986013985,0.6993006993006993,0.6993006993006993,4.895104895104895,5.594405594405594,0.0,0.6993006993006993,3.4965034965034967,2.097902097902098,2.097902097902098,3.4965034965034967,0.0,1.3986013986013985,2.797202797202797,18.181818181818183,28.671328671328673
Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Panama,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,9.090909090909092,0.0,0.0,0.0,0.0,18.181818181818183,18.181818181818183
Poland,0.0,0.0,0.0,0.0,15.384615384615385,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,7.6923076923076925
Romania,2.083333333333333,0.0,0.0,4.166666666666666,1.0416666666666665,0.0,0.0,3.125,0.0,2.083333333333333,1.0416666666666665,1.0416666666666665,0.0,1.0416666666666665,0.0,3.125,8.333333333333332,0.0,0.0,5.208333333333334,8.333333333333332,5.208333333333334,0.0,0.0,0.0,7.291666666666667,14.583333333333334,32.29166666666667
Russia,6.25,0.3289473684210526,0.0,0.6578947368421052,2.9605263157894735,0.6578947368421052,1.644736842105263,1.644736842105263,0.6578947368421052,1.9736842105263157,0.9868421052631579,4.934210526315789,1.3157894736842104,1.644736842105263,0.3289473684210526,3.618421052631579,4.934210526315789,0.6578947368421052,2.9605263157894735,2.9605263157894735,0.6578947368421052,2.9605263157894735,0.0,0.6578947368421052,1.3157894736842104,4.605263157894736,17.434210526315788,31.25
Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
South Africa,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,25.0,20.0
Spain,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
